Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_13,13,2400,0,0,0,0,0,299.875,0,299.875,5.128,13,259.705,903.056,0,0.091,3.157,8.029E-4,0.060,0.189,661.227,703.312,625.731,658.684,20.082
Track_14,14,2400,0,0,0,0,0,299.875,0,299.875,9.589,14,1285.517,775.518,0,0.232,21.080,0.004,0.136,0.653,430.110,546.640,197.795,479.381,100.999
Track_15,15,2136,1,2,0,0,0,267.125,0,267.125,115.873,15,1214.706,937.014,0,0.678,74.164,0.005,0.156,4.891,173.254,275.692,134.614,173.321,6.451
Track_16,16,2400,0,0,0,0,0,299.875,0,299.875,0.982,16,1090.003,800.182,0,0.128,4.699,0.002,0.075,0.265,331.222,385.756,268.279,338.429,36.128
Track_17,17,459,1,1,0,0,0,57.375,0,57.375,1011.791,17,542.525,976.515,0,17.787,71.679,0.014,0.450,19.825,194.188,266.016,142.036,197.033,16.239
Track_18,18,2400,0,0,0,0,0,299.875,0,299.875,2.410,18,11.581,976.862,0,0.123,3.632,9.040E-4,0.063,0.241,492.061,577.601,422.341,486.490,27.067
Track_19,19,2400,0,0,0,0,0,299.875,0,299.875,4.325,19,848.669,976.243,0,0.143,14.927,0.003,0.078,0.524,228.656,315.132,183.992,230.311,7.376
Track_20,20,15,0,0,0,0,0,1.750,0,1.750,53.968,20,863.972,830.141,0,30.903,34.224,25.935,31.830,2.368,198.005,225.539,164.665,197.679,14.641
Track_21,21,409,0,0,0,0,0,51.000,0,51.000,1050.099,21,570.434,996.524,0,20.765,62.935,0.006,28.473,18.716,258.354,391.240,189.633,252.556,22.111
Track_22,22,2400,0,0,0,0,0,299.875,0,299.875,7.186,22,1071.572,1004.679,0,0.222,19.301,0.001,0.105,0.857,454.984,508.727,347.532,454.745,16.017
Track_23,23,2400,0,0,0,0,0,299.875,0,299.875,2.034,23,1306.505,846.725,0,0.174,9.516,0.001,0.089,0.397,344.915,416.480,281.108,342.167,31.920
Track_24,24,2400,0,0,0,0,0,299.875,0,299.875,6.071,24,1298.417,1020.733,0,0.159,13.944,0.002,0.084,0.530,579.175,636.954,446.788,573.792,21.152
Track_25,25,2400,0,0,0,0,0,299.875,0,299.875,120.059,25,767.370,851.394,0,0.586,48.804,8.557E-4,0.105,3.531,447.826,528.252,375.502,446.030,27.250
Track_26,26,2400,0,0,0,0,0,299.875,0,299.875,5.214,26,1193.644,1053.484,0,0.128,7.270,0.001,0.077,0.293,564.270,605.861,532.177,558.406,21.698
Track_27,27,2392,1,5,0,0,0,299.500,0.375,299.875,4.403,27,1150.680,594.176,0,0.367,4.900,0.003,0.263,0.412,145.990,182.150,134.224,145.521,3.114
Track_28,28,1133,1,4,0,0,0,142.000,0.375,142.375,506.842,28,854.145,670.139,0,3.773,62.908,0.012,0.229,10.674,163.240,320.141,111.150,161.626,8.953
Track_29,29,761,0,0,0,0,0,95.000,0.875,95.875,298.768,29,27.314,840.319,0,3.400,46.714,0.002,0.118,8.843,235.854,294.160,110.763,243.452,24.343
Track_30,30,2396,1,1,0,0,0,299.500,0.375,299.875,4.775,30,24.862,851.156,0,0.297,36.384,0.003,0.081,1.785,377.929,477.051,309.683,377.872,5.846
Track_31,31,257,35,14,0,0,0,44.250,1.625,45.875,0.910,31,489.110,873.834,0,0.296,6.763,0.004,0.152,0.697,182.629,195.944,134.508,182.921,3.781
Track_34,34,107,1,1,0,0,0,13.375,2.250,15.625,418.707,34,1122.325,833.920,0,31.457,70.214,0.000,31.428,7.379,211.974,266.471,166.826,211.364,20.497
Track_35,35,119,29,15,0,0,0,27.375,2.750,30.125,0.576,35,315.436,848.997,0,0.129,2.391,0.004,0.084,0.245,232.755,237.569,231.057,232.674,0.952
Track_36,36,26,5,13,0,0,0,8.625,2.375,11.000,0.064,36,835.542,859.895,0,0.141,0.983,0.009,0.089,0.196,198.911,200.203,197.571,198.899,0.612
Track_41,41,23,1,1,0,0,0,2.875,8.375,11.250,140.099,41,155.773,858.045,0,49.213,82.174,25.799,48.846,13.444,226.310,323.159,187.408,214.656,31.642
Track_47,47,36,0,0,0,0,0,4.375,14.125,18.500,188.465,47,480.195,864.314,0,43.319,67.662,28.657,43.606,9.568,198.546,304.934,137.837,191.737,40.046
Track_48,48,2280,0,0,0,0,0,284.875,15,299.875,979.729,48,923.473,782.587,0,3.568,55.876,0.000,0.085,10.472,482.621,707.135,289.025,486.371,23.119
Track_49,49,130,3,1,0,0,0,16.500,19,35.500,605.642,49,931.648,872.779,0,36.741,84.080,1.754,35.318,12.923,174.798,260.402,112.340,172.156,26.790
Track_50,50,69,0,0,0,0,0,8.500,22.250,30.750,231.991,50,123.821,420.742,0,27.329,39.294,15.112,27.783,4.423,175.677,227.177,142.203,174.736,16.792
Track_51,51,229,0,0,0,0,0,28.500,23.750,52.250,1330.703,51,638.645,783.248,0,46.849,92.915,16.143,45.067,13.567,240.910,340.333,162.724,241.291,28.520
Track_53,53,73,1,1,0,0,0,9.125,30.125,39.250,261.821,53,120.943,619.773,0,28.697,61.301,0.000,27.703,8.657,166.660,209.160,115.871,165.542,19.826
Track_54,54,293,0,0,0,0,0,36.500,31.500,68.000,1080.455,54,740.450,431.972,0,29.630,55.141,10.058,29.736,6.905,168.562,254.779,114.678,166.713,23.667
Track_55,55,4,1,16,0,0,0,2.375,35.500,37.875,0.028,55,315.480,848.461,0,0.061,0.160,0.007,0.016,0.086,232.588,233.105,232.150,232.700,0.357
Track_57,57,297,0,0,0,0,0,37.000,37.125,74.125,1330.767,57,642.223,510.820,0,36.031,62.608,21.247,35.759,6.516,254.468,382.684,204.117,251.338,23.083
Track_59,59,25,2,1,0,0,0,3.250,39.750,43.000,116.504,59,336.691,621.317,0,35.498,48.626,27.698,33.709,5.198,156.257,172.119,116.234,162.614,15.716
Track_61,61,16,0,0,0,0,0,1.875,43.500,45.375,61.702,61,450.642,623.100,0,32.941,39.759,26.983,31.641,4.003,158.761,188.190,118.717,162.684,20.695
Track_62,62,23,0,0,0,0,0,2.750,45.500,48.250,140.239,62,70.841,966.160,0,52.484,75.295,26.000,54.756,9.101,335.994,446.642,277.883,331.405,34.237
Track_63,63,29,0,0,0,0,0,3.500,45.875,49.375,101.265,63,545.147,623.089,0,28.993,49.765,7.112,28.238,8.991,154.324,179.279,122.259,157.366,17.086
Track_64,64,488,94,15,0,0,0,102.750,48.625,151.375,1.693,64,489.107,872.523,0,0.192,3.751,0.002,0.129,0.344,181.471,187.383,162.357,181.472,1.221
Track_65,65,56,0,0,0,0,0,6.875,48.625,55.500,343.844,65,335.382,971.410,0,50.049,64.963,35.085,50.030,8.404,307.229,350.721,210.112,307.300,22.367
Track_66,66,18,1,1,0,0,0,2.250,49.750,52.000,75.134,66,650.992,624.780,0,33.502,37.528,29.284,33.733,2.262,138.230,160.945,110.708,142.079,14.694
Track_70,70,48,1,1,0,0,0,6.000,52.250,58.250,194.515,70,100.263,757.890,0,32.531,57.679,23.777,31.868,6.445,147.225,270.969,111.121,143.880,26.185
Track_71,71,17,1,1,0,0,0,2.125,52.375,54.500,77.055,71,740.837,626.460,0,36.355,42.272,32.231,36.748,2.682,130.187,149.912,111.375,126.266,12.299
Track_72,72,39,2,1,0,0,0,5.000,55,60.000,174.329,72,880.743,628.339,0,34.574,45.900,27.105,34.233,5.106,135.113,161.795,110.710,134.369,11.991
Track_73,73,49,16,17,0,0,0,23.375,55.625,79.000,0.565,73,315.452,847.839,0,0.151,1.609,0.007,0.092,0.254,232.565,234.601,230.219,232.481,0.934
Track_74,74,53,0,0,0,0,0,6.500,55.875,62.375,311.613,74,695.370,976.749,0,48.030,63.725,14.741,48.557,10.184,308.588,379.973,231.755,300.529,28.984
Track_78,78,25,1,1,0,0,0,3.125,61,64.125,91.748,78,1044.019,632.371,0,29.155,35.285,10.891,31.363,6.439,124.528,142.245,110.968,124.466,9.939
Track_81,81,25,0,0,0,0,0,3.000,62.625,65.625,212.422,81,971.879,982.141,0,70.854,86.085,57.485,71.549,8.978,274.259,310.273,223.185,275.890,16.928
Track_83,83,409,0,0,0,0,0,51.000,64.625,115.625,1330.581,83,662.740,995.043,0,26.296,66.551,0.000,30.740,13.413,620.487,907.587,271.535,624.391,33.049
Track_86,86,48,3,2,0,0,0,6.375,66,72.375,179.230,86,1236.933,635.312,0,28.025,45.897,20.800,27.049,4.169,138.113,215.206,112.239,134.058,23.533
Track_89,89,24,0,0,0,0,0,2.875,67.500,70.375,141.849,89,1259.952,985.569,0,49.389,62.323,28.807,51.195,8.078,286.078,317.011,250.718,286.910,21.075
Track_92,92,420,0,0,0,0,0,52.375,69.500,121.875,1330.734,92,655.365,750.990,0,25.447,56.820,0.000,25.660,5.754,238.052,439.291,159.249,235.509,28.025
