Label,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,LONGEST_GAP,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_INDEX,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TRACK_MAX_QUALITY,TRACK_MIN_QUALITY,TRACK_MEDIAN_QUALITY,TRACK_STD_QUALITY
Track_284,284,19,0,0,0,0,0,2.250,194.750,197.000,22.914,284,1029.507,825.011,0,10.193,13.246,7.647,9.941,1.595,170.401,192.520,151.356,166.707,11.978
Track_286,286,501,0,0,0,0,0,62.500,197.750,260.250,903.571,286,842.383,293.102,0,14.485,44.931,0.000,14.825,4.847,267.712,365.226,174.327,265.804,23.497
Track_288,288,20,0,0,0,0,0,2.375,198.250,200.625,29.621,288,997.499,665.687,0,12.509,16.310,10.604,11.817,1.586,199.107,224.105,154.858,213.203,22.667
Track_289,289,37,1,7,0,0,0,5.375,198.250,203.625,69.308,289,1093.659,824.637,0,12.770,17.546,8.452,12.871,1.952,165.869,183.991,151.540,165.556,9.714
Track_291,291,21,0,0,0,0,0,2.500,200.125,202.625,41.377,291,1311.274,472.128,0,22.030,104.192,10.400,16.308,20.263,171.022,189.906,160.045,170.247,8.131
Track_292,292,504,0,0,0,0,0,62.875,200.375,263.250,1330.627,292,634.143,372.246,0,21.398,51.235,1.999,21.786,7.015,527.369,743.226,396.353,527.825,43.216
Track_293,293,542,0,0,0,0,0,67.625,200.625,268.250,1273.989,293,585.550,403.501,0,18.860,40.872,0.000,19.293,5.931,373.090,641.198,280.253,376.409,45.878
Track_296,296,18,0,0,0,0,0,2.125,201.750,203.875,24.168,296,1039.430,665.244,0,11.386,13.038,8.808,11.581,1.145,188.823,206.517,158.155,190.978,13.907
Track_297,297,530,0,0,0,0,0,66.125,202.125,268.250,1053.084,297,484.525,603.989,0,15.953,42.643,0.000,15.790,5.114,260.526,634.816,185.149,260.339,36.520
Track_300,300,184,4,4,0,0,0,24.250,202.875,227.125,393.611,300,182.406,850.490,0,16.025,51.674,1.941,15.206,5.703,168.122,297.339,150.146,166.224,14.690
Track_304,304,259,0,0,0,0,0,32.250,205.500,237.750,531.348,304,224.983,632.486,0,16.601,44.585,0.000,15.711,7.386,238.863,357.214,178.754,238.719,25.522
Track_305,305,20,0,0,0,0,0,2.375,205.500,207.875,19.320,305,1153.165,823.799,0,8.143,11.005,4.978,8.176,1.837,159.918,167.501,151.255,160.011,5.169
Track_307,307,27,0,0,0,0,0,3.250,205.625,208.875,24.927,307,1077.631,664.576,0,7.681,9.566,5.040,8.091,1.384,181.711,200.434,152.557,182.395,13.086
Track_309,309,26,0,0,0,0,0,3.125,209.250,212.375,46.279,309,971.676,891.818,0,14.873,20.267,9.182,14.504,3.196,211.847,270.807,156.624,210.774,27.995
Track_310,310,18,0,0,0,0,0,2.125,209.375,211.500,22.603,310,1189.173,822.378,0,10.653,13.105,8.431,10.625,1.279,169.395,192.001,152.384,168.741,10.992
Track_311,311,141,3,5,0,0,0,18.625,210.375,229.000,226.142,311,1209.589,663.832,0,12.441,41.573,0.000,12.488,5.205,201.827,377.878,150.961,201.143,31.379
Track_313,313,33,1,5,0,0,0,4.625,211.625,216.250,69.115,313,36.820,385.042,0,14.591,31.340,0.000,14.022,4.796,232.001,451.115,153.608,232.598,54.622
Track_315,315,106,1,3,0,0,0,13.500,213,226.500,112.339,315,1263.597,822.886,0,8.357,45.265,0.058,7.148,7.753,174.159,445.003,153.125,165.273,31.377
Track_316,316,20,0,0,0,0,0,2.375,213.750,216.125,28.952,316,1030.138,890.783,0,12.253,14.989,10.385,12.152,1.261,204.257,224.909,163.082,210.441,17.881
Track_320,320,15,0,0,0,0,0,1.750,217.125,218.875,20.818,320,1318.312,357.757,0,12.280,49.373,5.200,9.588,10.951,177.045,263.025,152.156,172.283,27.882
Track_322,322,589,14,6,0,0,0,79.375,218.500,297.875,1243.881,322,853.402,391.656,0,16.067,183.216,0.455,16.207,10.626,261.463,340.429,150.591,268.447,45.817
Track_323,323,59,2,6,0,0,0,8.500,219.500,228.000,167.343,323,1147.341,890.329,0,20.542,34.473,10.494,20.108,5.794,219.805,304.172,150.982,221.495,32.149
Track_324,324,639,0,0,0,0,0,79.750,220.125,299.875,1177.692,324,686.907,726.751,0,15.274,181.541,0.000,15.699,10.424,349.175,601.603,165.606,345.362,62.777
Track_325,325,348,1,3,0,0,0,43.750,220.875,264.625,1330.581,325,677.763,770.987,0,30.431,58.010,12.568,30.631,7.364,262.793,353.036,188.405,263.518,16.966
Track_326,326,340,8,5,0,0,0,45.125,223.125,268.250,900.515,326,446.765,919.220,0,20.089,37.683,0.000,20.137,5.845,202.159,446.731,150.015,204.346,31.565
Track_327,327,348,0,0,0,0,0,43.375,224.875,268.250,1019.008,327,506.279,437.049,0,23.505,39.732,0.000,23.648,6.000,447.819,710.158,244.108,452.608,52.449
Track_328,328,346,0,0,0,0,0,43.125,225.125,268.250,912.095,328,447.941,891.713,0,21.169,51.664,0.000,21.152,5.581,344.594,577.585,233.153,351.983,46.298
Track_330,330,339,0,0,0,0,0,42.250,226,268.250,1040.894,330,508.524,705.125,0,24.692,50.302,9.273,24.408,6.144,706.290,890.749,400.020,709.781,32.508
Track_331,331,340,0,0,0,0,0,42.375,225.875,268.250,920.482,331,453.744,630.401,0,21.743,52.795,6.497,21.633,6.057,206.541,272.093,150.001,206.755,22.953
